Tiempo,Referencia,Salida_Planta,z0,z1,z2,z3
0.54,0,-1.08109e-05,2.61304e-06,0.000223049,0.00659376,0.0576
0.544,0,-1.13947e-05,2.89705e-06,0.000235224,0.00649926,0.0504
0.548,0,-1.19199e-05,3.17569e-06,0.000246187,0.00636748,0.0432
0.552,0,-1.23791e-05,3.44609e-06,0.000255841,0.00619915,0.036
0.556,0,-1.27651e-05,3.70528e-06,0.000264089,0.00599498,0.0288
0.56,0,-1.30709e-05,3.95025e-06,0.000270841,0.00575564,0.0216
0.564,0,-1.32898e-05,4.17795e-06,0.000276011,0.00548179,0.0144
0.568,0,-1.34156e-05,4.38535e-06,0.000279515,0.00517404,0.0072
0.572,0,-1.34424e-05,4.56941e-06,0.000281276,0.00483305,-1.73472e-18
0.576,0,-1.33647e-05,4.72717e-06,0.000281221,0.00445944,-0.0072
0.58,0,-1.31777e-05,4.8557e-06,0.000279282,0.00405384,-0.0144
0.584,0,-1.28772e-05,4.95218e-06,0.000275397,0.00361691,-0.0216
0.588,0,-1.24598e-05,5.0139e-06,0.000269509,0.0031493,-0.0288
0.592,0,-1.19225e-05,5.03828e-06,0.000261568,0.00265172,-0.036
0.596,0,-1.12634e-05,5.0229e-06,0.000251529,0.00212487,-0.0432
0.6,0,-1.04814e-05,4.96555e-06,0.000239357,0.00156951,-0.0504
0.604,0,-9.57644e-06,4.86426e-06,0.000225022,0.00098645,-0.0576
0.608,0,-8.54927e-06,4.71731e-06,0.000208504,0.00037655,-0.0648
0.612,0,-7.40176e-06,4.52331e-06,0.000189793,-0.000259251,-0.072
0.616,0,-6.13687e-06,4.28125e-06,0.000168891,-0.000919919,-0.0792
0.62,0,-4.75864e-06,3.99057e-06,0.000145812,-0.0016043,-0.0864
0.624,0,-3.27229e-06,3.65123e-06,0.000120586,-0.00231107,-0.0936
0.628,0,-1.68418e-06,3.26385e-06,9.3263e-05,-0.00303871,-0.1008
0.632,0,-1.84877e-09,2.82988e-06,6.39167e-05,-0.00378538,-0.108
0.636,0,1.76598e-06,2.35179e-06,3.26542e-05,-0.00454882,-0.1152
0.64,0,3.60945e-06,1.83349e-06,-3.71213e-07,-0.00532607,-0.1224
0.644,0,5.51756e-06,1.2809e-06,-3.49354e-05,-0.00611302,-0.1296
0.648,0,7.47827e-06,7.03309e-07,-7.06888e-05,-0.00690328,-0.1368
0.652,0,9.47858e-06,1.16657e-07,-0.000107002,-0.00768449,-0.144
0.656,0,1.15047e-05,-4.38617e-07,-0.00014199,-0.00840984,-0.1512
0.66,0,1.35422e-05,-9.01979e-07,-0.000170832,-0.00880668,-0.144
0.664,0,1.55766e-05,-1.35937e-06,-0.000198598,-0.00913365,-0.1368
0.668,0,1.75935e-05,-1.82305e-06,-0.000225652,-0.00940492,-0.1296
0.672,0,1.95783e-05,-2.29726e-06,-0.000252063,-0.00962639,-0.1224
0.676,0,2.15166e-05,-2.78319e-06,-0.000277801,-0.00980139,-0.1152
0.68,0,2.33942e-05,-3.28043e-06,-0.000302798,-0.00993213,-0.108
0.684,0,2.51969e-05,-3.78761e-06,-0.000326964,-0.0100202,-0.1008
0.688,0,2.69106e-05,-4.30276e-06,-0.0003502,-0.0100669,-0.0936
0.692,0,2.85215e-05,-4.82345e-06,-0.000372404,-0.0100733,-0.0864
0.696,0,3.00159e-05,-5.34689e-06,-0.00039347,-0.0100402,-0.0792
0.7,0,3.13803e-05,-5.8701e-06,-0.000413292,-0.0099684,-0.072
0.704,0,3.26017e-05,-6.38986e-06,-0.000431768,-0.00985865,-0.0648
0.708,0,3.36671e-05,-6.90281e-06,-0.000448795,-0.00971156,-0.0576
0.712,0,3.4564e-05,-7.40549e-06,-0.000464273,-0.00952776,-0.0504
0.716,0,3.52805e-05,-7.89432e-06,-0.000478107,-0.00930781,-0.0432
0.72,0,3.58048e-05,-8.36569e-06,-0.000490201,-0.00905227,-0.036
0.724,0,3.61261e-05,-8.81592e-06,-0.000500466,-0.00876168,-0.0288
0.728,0,3.62339e-05,-9.24132e-06,-0.000508815,-0.00843655,-0.0216
0.732,0,3.61185e-05,-9.63818e-06,-0.000515163,-0.00807741,-0.0144
0.736,0,3.57709e-05,-1.00028e-05,-0.000519431,-0.00768475,-0.0072
0.74,0,3.51831e-05,-1.03316e-05,-0.000521543,-0.0072591,-1.21431e-17
0.744,0,3.43477e-05,-1.06209e-05,-0.000521428,-0.00680096,0.0072
0.748,0,3.32588e-05,-1.08672e-05,-0.000519017,-0.00631085,0.0144
0.752,0,3.19109e-05,-1.10669e-05,-0.000514247,-0.00578928,0.0216
0.756,0,3.03003e-05,-1.12169e-05,-0.00050706,-0.00523679,0.0288
0.76,0,2.84239e-05,-1.13138e-05,-0.000497402,-0.00465394,0.036
0.764,0,2.62804e-05,-1.13545e-05,-0.000485223,-0.00404128,0.0432
0.768,0,2.38694e-05,-1.13362e-05,-0.000470482,-0.00339939,0.0504
0.772,0,2.11922e-05,-1.12562e-05,-0.00045314,-0.0027289,0.0576
0.776,0,1.82514e-05,-1.11118e-05,-0.000433166,-0.00203044,0.0648
0.78,0,1.50512e-05,-1.0901e-05,-0.000410537,-0.00130468,0.072
0.784,0,1.15974e-05,-1.06217e-05,-0.000385235,-0.000552352,0.0792
0.788,0,7.89726e-06,-1.02723e-05,-0.000357253,0.000225772,0.0864
0.792,0,3.95976e-06,-9.85163e-06,-0.00032659,0.00102886,0.0936
0.796,0,-2.04447e-07,-9.35882e-06,-0.000293259,0.00185598,0.1008
0.8,0,-4.58304e-06,-8.79358e-06,-0.000257283,0.00270613,0.108
0.804,0,-9.16198e-06,-8.15617e-06,-0.0002187,0.00357818,0.1152
0.808,0,-1.39256e-05,-7.44758e-06,-0.000177564,0.00447083,0.1224
0.812,0,-1.88564e-05,-6.66959e-06,-0.000133951,0.00538257,0.1296
0.816,0,-2.39354e-05,-5.82502e-06,-8.79614e-05,0.00631163,0.1368
0.82,0,-2.91419e-05,-4.91799e-06,-3.97312e-05,0.00725583,0.144
0.824,0,-3.44537e-05,-3.95429e-06,1.05571e-05,0.00821237,0.1512
0.828,0,-3.9847e-05,-2.94212e-06,6.26512e-05,0.00917752,0.1584
0.832,0,-4.52969e-05,-1.8933e-06,0.000116185,0.0101458,0.1656
0.836,0,-5.0777e-05,-8.26082e-07,0.000170572,0.0111079,0.1728
0.84,0,-5.62601e-05,2.25832e-07,0.00022463,0.0120428,0.18
0.844,0,-6.17182e-05,1.11716e-06,0.000269931,0.0125866,0.1728
0.848,0,-6.71236e-05,1.94964e-06,0.000312074,0.0130151,0.1656
0.852,0,-7.24486e-05,2.77273e-06,0.000352795,0.0133755,0.1584
0.856,0,-7.76662e-05,3.60095e-06,0.000392462,0.0136794,0.1512
0.86,0,-8.27501e-05,4.44041e-06,0.000431179,0.0139322,0.144
0.864,0,-8.76742e-05,5.29348e-06,0.000468948,0.0141372,0.1368
0.868,0,-9.24135e-05,6.16048e-06,0.000505725,0.0142968,0.1296
0.872,0,-9.69434e-05,7.04045e-06,0.000541438,0.0144126,0.1224
0.876,0,-0.00010124,7.93155e-06,0.000576003,0.014486,0.1152
0.88,0,-0.00010528,8.83133e-06,0.000609326,0.0145179,0.108
0.884,0,-0.00010904,9.73691e-06,0.000641309,0.0145094,0.1008
0.888,0,-0.000112499,1.0645e-05,0.000671853,0.0144612,0.0936
0.892,0,-0.000115636,1.15521e-05,0.000700856,0.014374,0.0864
0.896,0,-0.000118429,1.24545e-05,0.000728217,0.0142485,0.0792
0.9,0,-0.000120859,1.33481e-05,0.000753838,0.0140853,0.072
0.904,0,-0.000122907,1.4229e-05,0.00077762,0.0138848,0.0648
0.908,0,-0.000124555,1.5093e-05,0.000799466,0.0136477,0.0576
0.912,0,-0.000125785,1.59358e-05,0.000819283,0.0133744,0.0504
0.916,0,-0.000126581,1.67531e-05,0.000836979,0.0130655,0.0432
0.92,0,-0.000126928,1.75405e-05,0.000852464,0.0127213,0.036
